time,ax,
00:00:00,0,
00:00:30,0.5,
00:01:00,1,
00:01:30,1.5,
00:02:00,2,
00:02:30,2.5,
00:03:00,3,
00:03:30,3.5,
00:04:00,4,
00:04:30,4.5,
00:05:00,5,
00:05:30,5.5,
00:06:00,6,
00:06:30,6.5,
00:07:00,7,
00:07:30,7.5,
00:08:00,8,
00:08:30,8.5,
00:09:00,9,
00:09:30,9.5,
00:10:00,10,
00:10:30,10.5,
00:11:00,11,
00:11:30,11.5,
00:12:00,12,
00:12:30,12.5,
00:13:00,13,
00:13:30,13.5,
00:14:00,14,
00:14:30,14.5,
00:15:00,15,
00:15:30,15.5,
00:16:00,16,
00:16:30,16.5,
00:17:00,17,
00:17:30,17.5,
00:18:00,18,
00:18:30,18.5,
00:19:00,19,
00:19:30,19.5,
00:20:00,20,
00:20:30,20.5,
00:21:00,21,
00:21:30,21.5,
00:22:00,22,
00:22:30,22.5,
00:23:00,23,
00:23:30,23.5,
00:24:00,24,
00:24:30,24.5,
00:25:00,25,
00:25:30,25.5,
00:26:00,26,
00:26:30,26.5,
00:27:00,27,
00:27:30,27.5,
00:28:00,28,
00:28:30,28.5,
00:29:00,29,
00:29:30,29.5,
00:30:00,30,
00:30:30,30.5,
00:31:00,31,
00:31:30,31.5,
00:32:00,32,
00:32:30,32.5,
00:33:00,33,
00:33:30,33.5,
00:34:00,34,
00:34:30,34.5,
00:35:00,35,
00:35:30,35.5,
00:36:00,36,
00:36:30,36.5,
00:37:00,37,
00:37:30,37.5,
00:38:00,38,
00:38:30,38.5,
00:39:00,39,
00:39:30,39.5,
00:40:00,40,
00:40:30,40.5,
00:41:00,41,
00:41:30,41.5,
00:42:00,42,
00:42:30,42.5,
00:43:00,43,
00:43:30,43.5,
00:44:00,44,
00:44:30,44.5,
00:45:00,45,
00:45:30,45.5,
00:46:00,46,
00:46:30,46.5,
00:47:00,47,
00:47:30,47.5,
00:48:00,48,
00:48:30,48.5,
00:49:00,49,
00:49:30,49.5,
00:50:00,50,
00:50:30,50.5,
00:51:00,51,
00:51:30,51.5,
00:52:00,52,
00:52:30,52.5,
00:53:00,53,
00:53:30,53.5,
00:54:00,54,
00:54:30,54.5,
00:55:00,55,
00:55:30,55.5,
00:56:00,56,
00:56:30,56.5,
00:57:00,57,
00:57:30,57.5,
00:58:00,58,
00:58:30,58.5,
00:59:00,59,
00:59:30,59.5,
01:00:00,60,
01:00:30,60.5,
01:01:00,61,
01:01:30,61.5,
01:02:00,62,
01:02:30,62.5,
01:03:00,63,
01:03:30,63.5,
01:04:00,64,
01:04:30,64.5,
01:05:00,65,
01:05:30,65.5,
01:06:00,66,
01:06:30,66.5,
01:07:00,67,
01:07:30,67.5,
01:08:00,68,
01:08:30,68.5,
01:09:00,69,
01:09:30,69.5,
01:10:00,70,
01:10:30,70.5,
01:11:00,71,
01:11:30,71.5,
01:12:00,72,
01:12:30,72.5,
01:13:00,73,
01:13:30,73.5,
01:14:00,74,
01:14:30,74.5,
01:15:00,75,
01:15:30,75.5,
01:16:00,76,
01:16:30,76.5,
01:17:00,77,
01:17:30,77.5,
01:18:00,78,
01:18:30,78.5,
01:19:00,79,
01:19:30,79.5,
01:20:00,80,
01:20:30,80.5,
01:21:00,81,
01:21:30,81.5,
01:22:00,82,
01:22:30,82.5,
01:23:00,83,
01:23:30,83.5,
01:24:00,84,
01:24:30,84.5,
01:25:00,85,
01:25:30,85.5,
01:26:00,86,
01:26:30,86.5,
01:27:00,87,
01:27:30,87.5,
01:28:00,88,
01:28:30,88.5,
01:29:00,89,
01:29:30,89.5,
01:30:00,90,
01:30:30,90.5,
01:31:00,91,
01:31:30,91.5,
01:32:00,92,
01:32:30,92.5,
01:33:00,93,
01:33:30,93.5,
01:34:00,94,
01:34:30,94.5,
01:35:00,95,
01:35:30,95.5,
01:36:00,96,
01:36:30,96.5,
01:37:00,97,
01:37:30,97.5,
01:38:00,98,
01:38:30,98.5,
01:39:00,99,
01:39:30,99.5,
01:40:00,100,
01:40:30,100.5,
01:41:00,101,
01:41:30,101.5,
01:42:00,102,
01:42:30,102.5,
01:43:00,103,
01:43:30,103.5,
01:44:00,104,
01:44:30,104.5,
01:45:00,105,
01:45:30,105.5,
01:46:00,106,
01:46:30,106.5,
01:47:00,107,
01:47:30,107.5,
01:48:00,108,
01:48:30,108.5,
01:49:00,109,
01:49:30,109.5,
01:50:00,110,
01:50:30,110.5,
01:51:00,111,
01:51:30,111.5,
01:52:00,112,
01:52:30,112.5,
01:53:00,113,
01:53:30,113.5,
01:54:00,114,
01:54:30,114.5,
01:55:00,115,
01:55:30,115.5,
01:56:00,116,
01:56:30,116.5,
01:57:00,117,
01:57:30,117.5,
01:58:00,118,
01:58:30,118.5,
01:59:00,119,
01:59:30,119.5,
02:00:00,120,
02:00:30,120.5,
02:01:00,121,
02:01:30,121.5,
02:02:00,122,
02:02:30,122.5,
02:03:00,123,
02:03:30,123.5,
02:04:00,124,
02:04:30,124.5,
02:05:00,125,
02:05:30,125.5,
02:06:00,126,
02:06:30,126.5,
02:07:00,127,
02:07:30,127.5,
02:08:00,128,
02:08:30,128.5,
02:09:00,129,
02:09:30,129.5,
02:10:00,130,
02:10:30,130.5,
02:11:00,131,
02:11:30,131.5,
02:12:00,132,
02:12:30,132.5,
02:13:00,133,
02:13:30,133.5,
02:14:00,134,
02:14:30,134.5,
02:15:00,135,
02:15:30,135.5,
02:16:00,136,
02:16:30,136.5,
02:17:00,137,
02:17:30,137.5,
02:18:00,138,
02:18:30,138.5,
02:19:00,139,
02:19:30,139.5,
02:20:00,140,
02:20:30,140.5,
02:21:00,141,
02:21:30,141.5,
02:22:00,142,
02:22:30,142.5,
02:23:00,143,
02:23:30,143.5,
02:24:00,144,
02:24:30,144.5,
02:25:00,145,
02:25:30,145.5,
02:26:00,146,
02:26:30,146.5,
02:27:00,147,
02:27:30,147.5,
02:28:00,148,
02:28:30,148.5,
02:29:00,149,
02:29:30,149.5,
02:30:00,150,
02:30:30,150.5,
02:31:00,151,
02:31:30,151.5,
02:32:00,152,
02:32:30,152.5,
02:33:00,153,
02:33:30,153.5,
02:34:00,154,
02:34:30,154.5,
02:35:00,155,
02:35:30,155.5,
02:36:00,156,
02:36:30,156.5,
02:37:00,157,
02:37:30,157.5,
02:38:00,158,
02:38:30,158.5,
02:39:00,159,
02:39:30,159.5,
02:40:00,160,
02:40:30,160.5,
02:41:00,161,
02:41:30,161.5,
02:42:00,162,
02:42:30,162.5,
02:43:00,163,
02:43:30,163.5,
02:44:00,164,
02:44:30,164.5,
02:45:00,165,
02:45:30,165.5,
02:46:00,166,
02:46:30,166.5,
02:47:00,167,
02:47:30,167.5,
02:48:00,168,
02:48:30,168.5,
02:49:00,169,
02:49:30,169.5,
02:50:00,170,
02:50:30,170.5,
02:51:00,171,
02:51:30,171.5,
02:52:00,172,
02:52:30,172.5,
02:53:00,173,
